scenario,asset,feature_family,start_train_date,end_train_date,start_val_date,end_val_date,feature_path,feature_file,raw_path,raw_file,log_return_path,log_return_file
1,BNBUSDT,SMA,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
2,BNBUSDT,EMA,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
3,BNBUSDT,RSI,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
4,BNBUSDT,MACD,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
5,BNBUSDT,BB,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
6,BNBUSDT,SO,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
7,BNBUSDT,ATR,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
8,BNBUSDT,lagged,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02a-output-BNBUSDT_1d-log-return-lagged.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
9,BNBUSDT,datetime,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02b-output-BNBUSDT_1d-log-return-datetime.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
10,BNBUSDT,difference_and_change,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02c-output-BNBUSDT_1d-log-return-difference-and-change.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
